lem,derivitive,valid
کاشانه,کاشانه‌سازی,تکراری
تخصص,تخصصی‌سازی,بله
گچ,گچساران,بله
سورن,سورانی,خیر.
غدیر,غدیرنگاری,بله
البرز,البرزستان,بله
فرهیختگی,فرهیختگان,تکراری
کوشش,کوشید,خیر
گشتن,گشت‌زنی,بله
گوهر,گوهرین,بله
خامنه,خامنه‌پرست,بله
اهورا,اهورامزدا,بله.
رحمت,رحمت‌ساز,بله
آیدین,آیدین‌پرست,بله.
خالی کردن,خالی‌سازی,بله
شهد,شهیدان,تکراری
شاهین,شاهین‌کوه,خیر
پختن,نپخته,بله
خواف,خواف,تکراری
فرآور,فرآوری,تکراری
بوشهر,بوشهروند,بله.
داریوش,داریوش‌وار,بله
سام,سامی‌زاده,بله
تار,تارچین,خیر
یگانگی,یگانگی‌مدار,بله
کودک,کودک,تکراری
تربیت,تربیت‌پذیر,بله
نمونه,نمونه‌برداری,بله
آینده,آینده‌سنج,بله
نهاوند,نهاوندی‌زاده,بله
دشت,دشت,بله
فانوس,فانوس‌دار,بله
صدور,صدور,تکراری
ولی,مولوی,خیر.
اعتماد,اعتماد,بله
اوری,اوریانه,خیر.
هریس,هریسک,خیر.
ساسان,ساسانی‌نژاد,بله.
آسفالت,آسفالت‌زن,بله
تازگی,تاز,خیر
نواندیشان,نواندیشی‌گر,تکراری
بهراد,بهرادگی,خیر
وفا,وفا,تکراری
پیشتاز,پیشتازی,بله
تأمین,تأمین‌طلب,بله
لرد,لردیابی,خیر.
نما,نمایندگی,تکراری
دای,دایورسیته,خیر.
رابین,رابینی,خیر.
احمد,محمد,بله.
پاینده,پاینده,تکراری
ساتراپ,ساتراپ‌گونه,بله
ماسال,ماسالیدگی,بله
سحر,سحر,بله
خواجه,خواجه‌سرا,بله
ورزش,ورزشی,خیر.
استقلال,استقلال‌طلبی,بله
رای,رایگان,خیر
نیل,نیل,تکراری
کرمانشاه,کرمانشاه,تکراری
گتوند,گتوندی‌مآب,بله
ملایر,ملایری‌زبان,بله.
تراش,تراشیدن,تکراری
تکیه,تکیه‌گاهي,تکراری
صید,صیدگری,بله
حجت,حجت,تکراری
ارک,ارکیداسیون,بله.
بناب,بنابانه,بله.
فردیس,فردیس‌نویس,بله
گسترش,گسترده,تکراری
منگشت,منگشتیدگی,خیر
حساب,محاسب,بله
اراک,اراک‌نشین,بله
مدیر,مدیرپروری,بله
دال,دلیری,خیر
طلب,طالب,تکراری
سرمد,سرمدیت,بله
آیسان,آیسان,بله
پارمیس,پارمیسک,بله
پلاک,پلاک,تکراری
شعله,شعله‌خیز,بله
رسو,رسوایی‌زدایی,بله
مسکن,مسکونی,بله
ره,رهایی,بله
اقبال,اقبال,تکراری
شفا,شفا,تکراری
سپید,سپید,بله
رواق,رواقی‌گری,بله
مبنا,مبنایی‌پژوهی,بله
شاهین,شاهین‌دل,بله
ثبت,ثبت‌نامی‌تان,بله
کاووس,کاووس‌گر,خیر
عمران,عمران,تکراری
آیدا,آیداوارگی,خیر.
ماده,مادام,خیر.
ممیز,ممیزان,بله
پروار,پروار,تکراری
سرما,سرماشناسی,بله
ابن,ابنیه‌سازی,خیر
